Time,Container,From,To,CTMType
11/30/2021 8:29,FCIU7382712,RTG25,DD6_644_E_2,CheToStack
11/30/2021 8:29,S0025363972,RTG28,CC3_388_C_2,CheToStack
11/30/2021 8:29,HDMU6730353,RTG17,NN1_238_F_2,CheToStack
11/30/2021 8:29,S0025363983,RTG26,EE2_344_E_2,CheToStack
11/30/2021 8:29,MEDU4060470,RTG23,EE1_108_E_5,CheToStack
11/30/2021 8:30,KOCU4237640,RTG25,DD6_644_D_1,CheToStack
11/30/2021 8:30,UETU2721543,RTG27,333978,CheToTruck
11/30/2021 8:30,CGIU2230558,RTG16,316130,CheToTruck
11/30/2021 8:30,MSDU2103728,RTG24,113671,CheToTruck
11/30/2021 8:30,MSMU6230711,RTG26,EE2_344_E_3,CheToStack
11/30/2021 8:30,TCNU2807722,RTG28,CC3_388_D_3,CheToStack
11/30/2021 8:31,CAIU7199827,RTG17,NN1_238_C_4,CheToStack
11/30/2021 8:31,SMCU1047301,RTG23,EE1_108_D_5,CheToStack
11/30/2021 8:31,KKFU7984106,RTG25,DD6_644_D_2,CheToStack
11/30/2021 8:31,TGBU5851858,RTG26,EE2_344_A_1,CheToStack
11/30/2021 8:32,S0025364026,RTG28,CC3_388_D_4,CheToStack
11/30/2021 8:32,HDMU6824977,RTG17,NN1_238_D_4,CheToStack
11/30/2021 8:33,TCNU2864677,RTG23,355178,CheToTruck
11/30/2021 8:33,BMOU4241271,RTG25,210030,CheToTruck
11/30/2021 8:34,MSDU8146460,RTG24,DD2_320_B_4,CheToStack
11/30/2021 8:34,MSMU7747930,RTG21,204270,CheToTruck
11/30/2021 8:34,CAIU7832410,RTG26,EE2_328_F_4,CheToStack
11/30/2021 8:34,S0025364065,RTG27,EE5_505_E_1,CheToStack
11/30/2021 8:34,GAOU6199631,RTG28,119144,CheToTruck
11/30/2021 8:35,SMCU1047301,RTG23,EE1_108_C_1,CheToStack
11/30/2021 8:35,FCIU7382712,RTG25,313729,CheToTruck
11/30/2021 8:35,MEDU9355684,RTG26,EE2_328_A_1,CheToStack
11/30/2021 8:35,FSCU8123947,RTG24,349189,CheToTruck
11/30/2021 8:35,MEDU3924058,RTG27,326423,CheToTruck
11/30/2021 8:36,TRHU2132793,RTG16,MM6_623_A_1,CheToStack
11/30/2021 8:37,MEDU4060470,RTG23,EE1_108_C_2,CheToStack
11/30/2021 8:37,MEDU8542058,RTG22,MM3_426_B_3,CheToStack
11/30/2021 8:37,MSDU7355173,RTG17,NN1_194_B_3,CheToStack
11/30/2021 8:38,S0025364139,RTG24,253989,CheToTruck
11/30/2021 8:38,TGHU9729095,RTG26,EE2_320_A_1,CheToStack
11/30/2021 8:38,MSDU7481905,RTG22,MM3_426_C_4,CheToStack
11/30/2021 8:38,TGBU7014450,RTG21,208172,CheToTruck
11/30/2021 8:38,TGHU6138329,RTG23,EE1_108_C_3,CheToStack
11/30/2021 8:38,MEDU1168970,RTG27,EE5_499_F_1,CheToStack
11/30/2021 8:38,SMCU1012460,RTG25,313729,CheToTruck
11/30/2021 8:39,GLDU9790627,RTG16,227609,CheToTruck
11/30/2021 8:39,MEDU4775046,RTG17,162811,CheToTruck
11/30/2021 8:39,CAIU3189482,RTG27,EE5_499_F_2,CheToStack
11/30/2021 8:39,MEDU7655147,RTG28,CC3_430_F_3,CheToStack
